date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:55:53	664956/664956	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Feb%202023%2023:55:51%20GMT	https://www.classcentral.com/	C:/Users/Sakhi/Desktop/classCentral/try/www.classcentral.com/index.html	(from )
01:55:54	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2021%20Feb%202023%2023:55:52%20GMT	http://schema.org/WebSite	C:/Users/Sakhi/Desktop/classCentral/try/schema.org/WebSite.0.delayed	(from https://www.classcentral.com/)
01:55:56	179772/179772	---M-Z	200	added ('OK')	text/html	etag:%22HE3AwQ%22	https://schema.org/WebSite	C:/Users/Sakhi/Desktop/classCentral/try/schema.org/WebSite.html	(from https://www.classcentral.com/)
01:55:57	9463/9463	---M--	200	added ('OK')	image/png	date:Mon,%2020%20Feb%202023%2019:49:49%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fmeta%2Fmeta-default.png?auto=format&ixlib=php-3.3.1&s=abde49e12c23a50309f7d91754b25193	C:/Users/Sakhi/Desktop/classCentral/try/ccweb.imgix.net/https_/www.classcentral.com/images/meta/meta-default6dba.png	(from https://www.classcentral.com/)
01:55:58	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2021%20Feb%202023%2023:55:55%20GMT	http://twitter.com/classcentral	C:/Users/Sakhi/Desktop/classCentral/try/twitter.com/classcentral.3.delayed	(from https://www.classcentral.com/)
01:56:00	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2021%20Feb%202023%2023:55:58%20GMT	http://www.linkedin.com/company/class-central	C:/Users/Sakhi/Desktop/classCentral/try/www.linkedin.com/company/class-central.5.delayed	(from https://www.classcentral.com/)
01:56:00	176208/176208	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Feb%202023%2023:55:58%20GMT	https://twitter.com/classcentral	C:/Users/Sakhi/Desktop/classCentral/try/twitter.com/classcentral.html	(from https://www.classcentral.com/)
01:56:02	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2021%20Feb%202023%2023:56:00%20GMT	https://www.linkedin.com/company/class-central	C:/Users/Sakhi/Desktop/classCentral/try/www.linkedin.com/company/class-central.6.delayed	(from https://www.classcentral.com/)
01:56:04	335915/335915	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20Feb%202023%2023:56:01%20GMT	https://www.linkedin.com/company/classcentral	C:/Users/Sakhi/Desktop/classCentral/try/www.linkedin.com/company/classcentral.html	(from https://www.classcentral.com/)
01:56:05	133737/133737	---MCZ	200	added ('OK')	text/html	etag:W/%22d5dcaa3f876854428f1f930c70ea77b0%22	https://github.com/classcentral	C:/Users/Sakhi/Desktop/classCentral/try/github.com/classcentral.html	(from https://www.classcentral.com/)
01:56:05	2206/2206	---M--	200	added ('OK')	image/png	date:Mon,%2020%20Feb%202023%2019:49:48%20GMT	https://www.classcentral.com/apple-touch-icon.png	C:/Users/Sakhi/Desktop/classCentral/try/www.classcentral.com/apple-touch-icon.png	(from https://www.classcentral.com/)
01:56:06	975/975	---M--	200	added ('OK')	image/png	date:Mon,%2020%20Feb%202023%2019:48:06%20GMT	https://www.classcentral.com/favicon-32x32.png	C:/Users/Sakhi/Desktop/classCentral/try/www.classcentral.com/favicon-32x32.png	(from https://www.classcentral.com/)
01:56:07	731/731	---M--	200	added ('OK')	image/png	date:Mon,%2020%20Feb%202023%2019:48:06%20GMT	https://www.classcentral.com/favicon-16x16.png	C:/Users/Sakhi/Desktop/classCentral/try/www.classcentral.com/favicon-16x16.png	(from https://www.classcentral.com/)
01:56:09	673/673	---M--	200	added ('OK')	application/octet-stream	etag:%2263f3cedd-2a1%22	https://www.classcentral.com/site.webmanifest	C:/Users/Sakhi/Desktop/classCentral/try/www.classcentral.com/site.webmanifest	(from https://www.classcentral.com/)
01:56:09	1960/1960	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2263f3ce77-7a8%22	https://www.classcentral.com/safari-pinned-tab.svg	C:/Users/Sakhi/Desktop/classCentral/try/www.classcentral.com/safari-pinned-tab.svg	(from https://www.classcentral.com/)
01:56:11	913/913	---MCZ	200	added ('OK')	text/xml	etag:W/%2263f3cedd-391%22	https://www.classcentral.com/opensearch.xml	C:/Users/Sakhi/Desktop/classCentral/try/www.classcentral.com/opensearch.xml	(from https://www.classcentral.com/)
01:56:12	892/892	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2019:48:06%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-cyrillic-ext.woff2	C:/Users/Sakhi/Desktop/classCentral/try/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-cyrillic-ext.woff2	(from https://www.classcentral.com/)
01:56:13	892/892	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2019:48:06%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-greek-ext.woff2	C:/Users/Sakhi/Desktop/classCentral/try/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-greek-ext.woff2	(from https://www.classcentral.com/)
01:56:14	988/988	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2019:49:48%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-greek.woff2	C:/Users/Sakhi/Desktop/classCentral/try/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-greek.woff2	(from https://www.classcentral.com/)
01:56:15	4464/4464	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2019:48:06%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-vietnamese.woff2	C:/Users/Sakhi/Desktop/classCentral/try/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-vietnamese.woff2	(from https://www.classcentral.com/)
01:56:16	10164/10164	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2019:49:48%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-latin-ext.woff2	C:/Users/Sakhi/Desktop/classCentral/try/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-latin-ext.woff2	(from https://www.classcentral.com/)
01:56:17	12656/12656	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2019:48:06%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-latin.woff2	C:/Users/Sakhi/Desktop/classCentral/try/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-latin.woff2	(from https://www.classcentral.com/)
01:56:18	5360/5360	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2019:48:06%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-cyrillic-ext.woff2	C:/Users/Sakhi/Desktop/classCentral/try/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-cyrillic-ext.woff2	(from https://www.classcentral.com/)
01:56:19	7748/7748	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2019:48:06%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-cyrillic.woff2	C:/Users/Sakhi/Desktop/classCentral/try/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-cyrillic.woff2	(from https://www.classcentral.com/)
01:56:20	6348/6348	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2019:48:06%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-greek-ext.woff2	C:/Users/Sakhi/Desktop/classCentral/try/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-greek-ext.woff2	(from https://www.classcentral.com/)
01:56:21	6840/6840	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2019:49:48%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-greek.woff2	C:/Users/Sakhi/Desktop/classCentral/try/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-greek.woff2	(from https://www.classcentral.com/)
01:56:22	4672/4672	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2019:49:48%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-vietnamese.woff2	C:/Users/Sakhi/Desktop/classCentral/try/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-vietnamese.woff2	(from https://www.classcentral.com/)
01:56:23	12352/12352	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2019:48:06%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-latin-ext.woff2	C:/Users/Sakhi/Desktop/classCentral/try/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-latin-ext.woff2	(from https://www.classcentral.com/)
01:56:24	13324/13324	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2019:48:06%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-latin.woff2	C:/Users/Sakhi/Desktop/classCentral/try/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-latin.woff2	(from https://www.classcentral.com/)
01:56:25	5268/5268	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2019:48:06%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-cyrillic-ext.woff2	C:/Users/Sakhi/Desktop/classCentral/try/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-cyrillic-ext.woff2	(from https://www.classcentral.com/)
01:56:26	7584/7584	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2019:48:06%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-cyrillic.woff2	C:/Users/Sakhi/Desktop/classCentral/try/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-cyrillic.woff2	(from https://www.classcentral.com/)
